title,release_date,overview,tagline,genres,keywords,combined,processed,vector
Phantom of the Opera,1943,"Pit violinist Claudin hopelessly loves rising operatic soprano Christine Dubois (as do baritone Anatole and police inspector Raoul) and secretly aids her career. But Claudin loses both his touch and his job, murders a rascally music publisher in a fit of madness, and has his face etched with acid. Soon, mysterious crimes plague the Paris Opera House, blamed on a legendary ""phantom"".",The screen's classic of terror!,"Horror, Romance, Drama, Music","opera, musical, remake, gothic horror, technicolor, literary adaptation, stage musical, phantom of the opera","Phantom of the Opera 1943 Pit violinist Claudin hopelessly loves rising operatic soprano Christine Dubois (as do baritone Anatole and police inspector Raoul) and secretly aids her career. But Claudin loses both his touch and his job, murders a rascally music publisher in a fit of madness, and has his face etched with acid. Soon, mysterious crimes plague the Paris Opera House, blamed on a legendary ""phantom"". Horror, Romance, Drama, Music opera, musical, remake, gothic horror, technicolor, literary adaptation, stage musical, phantom of the opera","['phantom', 'opera', 'pit', 'violinist', 'claudin', 'hopelessly', 'love', 'rise', 'operatic', 'soprano', 'christine', 'dubois', 'baritone', 'anatole', 'police', 'inspector', 'raoul', 'secretly', 'aid', 'career', 'claudin', 'lose', 'touch', 'job', 'murder', 'rascally', 'music', 'publisher', 'fit', 'madness', 'face', 'etch', 'acid', 'soon', 'mysterious', 'crime', 'plague', 'paris', 'opera', 'house', 'blame', 'legendary', 'phantom', 'horror', 'romance', 'drama', 'music', 'opera', 'musical', 'remake', 'gothic', 'horror', 'technicolor', 'literary', 'adaptation', 'stage', 'musical', 'phantom', 'opera']","[-0.24870285  0.2881572   0.17952023 -0.01338755  0.2908737  -0.04980102
 -0.02534401 -0.05800793  0.06516004 -0.63504046  0.24377798 -0.276175
 -0.16405362  0.3214329   0.09594208 -0.35668978 -0.09924491  0.37267494
 -0.31175157 -0.39814144 -0.16678631  0.07302806 -0.19028293  0.03652662
  0.12811372 -0.04403758 -0.06328085  0.22632535  0.2195373   0.09367184
  0.02460014  0.16530688  0.35250926 -0.48226196 -0.17989281  0.15213458
 -0.04011106  0.20329419 -0.20388407  0.14114954  0.44944507 -0.58016354
 -0.11399169 -0.2780456  -0.36561802 -0.2941639   0.0109343  -0.26760668
 -0.30030254  0.28269267  0.04933222 -0.29166427  0.02667153  0.07680226
  0.00834384 -0.05769045  0.00615778  0.11170432 -0.18254991  0.12516043
  0.14954512 -0.21611732  0.14138894  0.07407176  0.48117718  0.52757406
  0.25105804 -0.07576925  0.05710816  0.33197707 -0.17817686  0.4065292
  0.04972176 -0.17194144  0.4106151   0.0584996   0.31923133  0.0374277
 -0.06687684  0.01235578 -0.06609199 -0.07035494 -0.00371446  0.28192362
 -0.25841412 -0.1458409  -0.22953822 -0.05579364 -0.05481691 -0.02658618
 -0.34369776 -0.20065948 -0.09108751 -0.04530445 -0.3063216   0.48210907
  0.05595516 -0.05471762  0.01935045  0.44690683]"
Rollerball,2002,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",Go Ballistic,"Action, Science Fiction, Thriller","arena, sports, manager, dystopia, wrestling, roller-skating, motor sport, roller skating, future sport","Rollerball 2002 In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate. Action, Science Fiction, Thriller arena, sports, manager, dystopia, wrestling, roller-skating, motor sport, roller skating, future sport","['rollerball', 'fast', 'action', 'pack', 'thriller', 'jonathan', 'marcus', 'aurora', 'compete', 'dangerous', 'fierce', 'sport', 'call', 'rollerball', 'johnathan', 'marcus', 'try', 'quit', 'cruel', 'vindictive', 'promoter', 'alexi', 'petrovich', 'encourage', 'participate', 'action', 'science', 'fiction', 'thriller', 'arena', 'sport', 'manager', 'dystopia', 'wrestling', 'roller', 'skate', 'motor', 'sport', 'roller', 'skating', 'future', 'sport']","[-0.24794231  0.58977914 -0.03027128 -0.14534017  0.26884887 -0.05952154
  0.03795353  0.04380262 -0.03642849 -0.599884    0.27798772 -0.42195302
 -0.4414821   0.3103466  -0.1044129  -0.4347576  -0.16159247  0.27762064
 -0.26802123 -0.37826487 -0.25031152  0.26258442 -0.09027581 -0.02097132
  0.07848412 -0.13327861 -0.15138105 -0.01472196  0.32683226  0.0493034
 -0.02679404  0.21572052  0.3443592  -0.5920927  -0.17557473  0.3786317
  0.08934166  0.3788259  -0.04159724  0.09737831  0.32747674 -0.56200063
 -0.22059262 -0.3033924  -0.46936512 -0.47483557 -0.00894313 -0.0915767
 -0.32967907  0.16211756  0.02081192 -0.20457956  0.11347374  0.06489214
  0.07488479 -0.04712293 -0.03469366 -0.04345091 -0.19331464  0.16836922
  0.1433115  -0.16049947  0.01696574  0.0771789   0.5786975   0.57023513
  0.23649749 -0.15950696  0.04734244  0.36107486 -0.3346742   0.09645796
  0.06940401 -0.48566133  0.47335425  0.10988767  0.11521543 -0.07594971
 -0.04080066  0.05038102 -0.14233552  0.09853079  0.23679954  0.25334
 -0.10644726 -0.10542881 -0.13563903 -0.11888453 -0.06939199 -0.13765521
 -0.34225306 -0.21170698  0.01191596  0.07440263 -0.39120215  0.5281423
  0.1919624  -0.02948421  0.04035582  0.36797938]"
Frieda,1947,"A young German girl marries an Englishman and moves into his family's household during the last days of World War II. The family and community have conflicting feelings about her presence in the community, and as a result, the family is forced to face their own moral code as they deal with their own prejudices and fears about the seemingly innocent German girl. The war ends, and she finally seems to be accepted into the family and community when her Nazi brother shows up to create havoc.",The film that puts the question - Would YOU take Frieda into YOUR Home?,"Drama, War",british noir,"Frieda 1947 A young German girl marries an Englishman and moves into his family's household during the last days of World War II. The family and community have conflicting feelings about her presence in the community, and as a result, the family is forced to face their own moral code as they deal with their own prejudices and fears about the seemingly innocent German girl. The war ends, and she finally seems to be accepted into the family and community when her Nazi brother shows up to create havoc. Drama, War british noir","['frieda', 'young', 'german', 'girl', 'marry', 'englishman', 'move', 'family', 'household', 'day', 'world', 'war', 'ii', 'family', 'community', 'conflicting', 'feeling', 'presence', 'community', 'result', 'family', 'force', 'face', 'moral', 'code', 'deal', 'prejudice', 'fear', 'seemingly', 'innocent', 'german', 'girl', 'war', 'end', 'finally', 'accept', 'family', 'community', 'nazi', 'brother', 'show', 'create', 'havoc', 'drama', 'war', 'british', 'noir']","[-0.4818858   0.31369996  0.16387732 -0.06803647  0.27428058 -0.0606031
  0.02401781 -0.04695054  0.17718798 -0.42956835  0.16177224 -0.5061355
 -0.3598675   0.3904429  -0.09803251 -0.45158264 -0.0809313   0.18200542
 -0.30038813 -0.2490907  -0.18324758  0.08851494 -0.10545857 -0.09313406
  0.2376678   0.1723307  -0.15169138 -0.11073183  0.41632482  0.08026895
 -0.07718553  0.16119513  0.37305337 -0.6635243  -0.18305661  0.3519398
  0.14490671  0.20894854 -0.33987284  0.20501707  0.40611282 -0.5305679
 -0.2590909  -0.15165639 -0.42120993 -0.13229558 -0.07599722 -0.23399258
 -0.16949162  0.23657791 -0.02814964 -0.2863511   0.07327525  0.18105817
 -0.03015448 -0.10287102 -0.02404595 -0.03733576 -0.20277111  0.23509389
  0.28087792 -0.0679149  -0.04998559  0.11911736  0.3586115   0.47373915
  0.14976019 -0.0811706   0.24733853  0.2930334  -0.33501285  0.15720353
 -0.03266291 -0.21011347  0.42822415 -0.06847225  0.35715204 -0.14107905
 -0.04689382  0.02638604 -0.2388581   0.08574293 -0.11645892  0.12003343
 -0.29940307 -0.11372126 -0.26735833 -0.15925184 -0.15058802 -0.14634897
 -0.41082203 -0.23712382  0.05137317  0.08542844 -0.37296793  0.29609174
  0.00513757  0.1922474  -0.10745445  0.4599421 ]"
The Delta,1997,"In Memphis, a middle-class white teenager and a black Vietnamese immigrant meet in a gay cruising spot and discover what they don't have in common.",The distance between two men is...,Drama,"interracial relationship, lgbt teen","The Delta 1997 In Memphis, a middle-class white teenager and a black Vietnamese immigrant meet in a gay cruising spot and discover what they don't have in common. Drama interracial relationship, lgbt teen","['delta', 'memphis', 'middle', 'class', 'white', 'teenager', 'black', 'vietnamese', 'immigrant', 'meet', 'gay', 'cruise', 'spot', 'discover', 'common', 'drama', 'interracial', 'relationship', 'lgbt', 'teen']","[-0.3116522   0.20065764  0.10700285 -0.02361815  0.3002326  -0.13321118
  0.03970368 -0.01491665  0.07484941 -0.51895094  0.1622016  -0.2742023
 -0.31118733  0.35343805  0.01418169 -0.35084254 -0.14120369  0.23497383
 -0.2710743  -0.3632632  -0.10233824  0.10914668 -0.12423273 -0.1521399
  0.15407726  0.21090749 -0.23488343  0.06797906  0.27358097 -0.04784199
 -0.05946747  0.16176863  0.33671588 -0.58867675 -0.21584928  0.23069827
 -0.0160806   0.1662853  -0.28546947  0.02503704  0.43248272 -0.5575445
 -0.24365635 -0.2522836  -0.3394131  -0.11403781  0.0041805  -0.2657704
 -0.22463556  0.29898006  0.09544282 -0.18315937  0.01291731  0.01001452
 -0.189863   -0.15834378 -0.07522645 -0.004972   -0.30175504  0.21823819
  0.25339836 -0.12777637  0.11346835  0.10318659  0.33951348  0.476546
  0.26562935 -0.14118162  0.1681447   0.22324982 -0.2165647   0.30990815
  0.01365687 -0.02595699  0.4304049  -0.06621505  0.20021656 -0.00545386
 -0.05038257  0.08239608 -0.18036966  0.01796714 -0.09262744  0.26570868
 -0.29747206 -0.17654994 -0.19442657 -0.13311252 -0.04289315 -0.13289918
 -0.32363755 -0.18443343  0.05057772 -0.04828825 -0.49722633  0.43082985
 -0.00435558 -0.00061178 -0.02748803  0.5795247 ]"
"No, No, Nanette",1930,A bible publisher is falling in love with a chorus girl and finds himself backing a Broadway show.,The Grandest Girl And Music Show In The History of Entertainment,"Comedy, Music","based on play or musical, atlantic city, pre-code","No, No, Nanette 1930 A bible publisher is falling in love with a chorus girl and finds himself backing a Broadway show. Comedy, Music based on play or musical, atlantic city, pre-code","['nanette', 'bible', 'publisher', 'fall', 'love', 'chorus', 'girl', 'find', 'back', 'broadway', 'comedy', 'music', 'base', 'play', 'musical', 'atlantic', 'city', 'pre', 'code']","[-0.5275238   0.33886042  0.2991181  -0.01703576  0.4187367  -0.21794577
 -0.05867631  0.06626327  0.11711051 -0.67423457  0.24515149 -0.41354433
 -0.19742537  0.31494176  0.10929425 -0.53182113 -0.17822914  0.5044103
 -0.42587325 -0.4480486  -0.2841016   0.0776065  -0.28798735 -0.02827114
  0.14341408  0.03827265 -0.0990544   0.25468716  0.22393656  0.16962907
 -0.04919383  0.25875527  0.3663752  -0.64853567 -0.2762797   0.18238786
  0.01888336  0.22100529 -0.22010766  0.21458016  0.3929102  -0.7054958
 -0.11166402 -0.08574099 -0.42291853 -0.10474417  0.05325412 -0.2641073
 -0.38986585  0.45580557 -0.13429984 -0.22438078  0.08362793  0.25912747
 -0.2086185  -0.16923298 -0.03240006  0.0929891  -0.25923896  0.09099174
  0.19204503 -0.1458537   0.30506364  0.04517243  0.40917453  0.4670256
  0.2922573  -0.02993441  0.19866796  0.47739813 -0.26986864  0.43640152
  0.15203892 -0.16689901  0.4500876  -0.00103962  0.4672058   0.06665849
 -0.18957563 -0.09134075 -0.16067515 -0.07783165 -0.07246271  0.28719062
 -0.29525536 -0.13879777 -0.32962176 -0.0630895  -0.02980796 -0.01809828
 -0.25182307 -0.27218652 -0.06983498 -0.03928442 -0.41747972  0.45840183
  0.08910722  0.04710661 -0.05108964  0.43623638]"
Local Boys,2002,"On Skeet’s twelfth birthday his older brother Randy buys him his first surfboard. Suddenly his summer turns to the endless search for the perfect wave, wild times and beach parties and eventually, finding his own daring adventures when Randy’s attention turns to a girl. Beyond his wildest dreams, Skeet is taken under the wings of surfing legend Jim Wesley who gives Skeet first-hand lessons in hot-dogging. Meanwhile, Randy, still dealing with the loss of his father and trying to fill his shoes, is jealous of Jim’s influence on Skeet and isn’t thrilled when Jim begins a relationship with their single mom. Tangled by the conflict between his brother and his newfound father figure, Skeet retreats to his room while longing to surf.",Dream The Extreme,Drama,surfing,"Local Boys 2002 On Skeet’s twelfth birthday his older brother Randy buys him his first surfboard. Suddenly his summer turns to the endless search for the perfect wave, wild times and beach parties and eventually, finding his own daring adventures when Randy’s attention turns to a girl. Beyond his wildest dreams, Skeet is taken under the wings of surfing legend Jim Wesley who gives Skeet first-hand lessons in hot-dogging. Meanwhile, Randy, still dealing with the loss of his father and trying to fill his shoes, is jealous of Jim’s influence on Skeet and isn’t thrilled when Jim begins a relationship with their single mom. Tangled by the conflict between his brother and his newfound father figure, Skeet retreats to his room while longing to surf. Drama surfing","['local', 'boys', 'skeet', 'twelfth', 'birthday', 'old', 'brother', 'randy', 'buy', 'surfboard', 'suddenly', 'summer', 'turn', 'endless', 'search', 'perfect', 'wave', 'wild', 'time', 'beach', 'party', 'eventually', 'find', 'daring', 'adventure', 'randy', 'attention', 'turn', 'girl', 'wild', 'dream', 'skeet', 'take', 'wing', 'surf', 'legend', 'jim', 'wesley', 'give', 'skeet', 'hand', 'lesson', 'hot', 'dogging', 'randy', 'deal', 'loss', 'father', 'try', 'fill', 'shoe', 'jealous', 'jim', 'influence', 'skeet', 'thrill', 'jim', 'begin', 'relationship', 'single', 'mom', 'tangle', 'conflict', 'brother', 'newfound', 'father', 'figure', 'skeet', 'retreat', 'room', 'long', 'surf', 'drama', 'surf']","[-0.29485825  0.13926268  0.05393929 -0.05637018  0.18984874  0.05461258
 -0.06297605 -0.11249895  0.0986803  -0.46459544  0.05631603 -0.3113967
 -0.28451684  0.2863625   0.10114993 -0.38054267 -0.11066546  0.06014546
 -0.29957962 -0.45953014 -0.05536839 -0.03433398 -0.09277704 -0.10742886
  0.00393326  0.09691177 -0.11581151  0.07537404  0.42399037 -0.09829766
 -0.10024291  0.05617486  0.33917454 -0.41253364 -0.1457863   0.37733844
 -0.03038804  0.14979395 -0.2732397   0.12533489  0.43575168 -0.50725615
 -0.24140806 -0.3043404  -0.46845216 -0.24674524  0.04656131 -0.31214857
 -0.14695564  0.28149036  0.15093365 -0.17350033  0.08168726  0.0568519
 -0.03125698 -0.09208228 -0.02565942  0.10697442 -0.24363706  0.21335983
  0.40758684 -0.09022827 -0.08003723  0.09518237  0.3593333   0.44841018
  0.21462221 -0.08238468  0.20295349  0.2842397  -0.20606738  0.25864452
 -0.00317229 -0.13657014  0.5040036  -0.19177365  0.41670784 -0.00447186
 -0.10118275  0.20976351 -0.1451408  -0.00398767 -0.02550532  0.19651392
 -0.3367926  -0.05948491 -0.1019963  -0.0907065  -0.09368421 -0.13663268
 -0.4591463  -0.25108293  0.07641012  0.01171891 -0.390353    0.42568877
 -0.10727768  0.0080973  -0.10324962  0.49828622]"
Savage,2009,"On a summer day in the 1950s, a native girl watches the countryside go by from the backseat of a car. A woman at her kitchen table sings a lullaby in her Cree language. When the girl arrives at her destination, she undergoes a transformation that will turn the woman’s gentle voice into a howl of anger and pain.",A residential school musical,"Drama, Music","dance, indigenous, musical, tragedy, choreography, residential school, first nations, coping mechanisms, short film","Savage 2009 On a summer day in the 1950s, a native girl watches the countryside go by from the backseat of a car. A woman at her kitchen table sings a lullaby in her Cree language. When the girl arrives at her destination, she undergoes a transformation that will turn the woman’s gentle voice into a howl of anger and pain. Drama, Music dance, indigenous, musical, tragedy, choreography, residential school, first nations, coping mechanisms, short film","['savage', 'summer', 'day', 'native', 'girl', 'watch', 'countryside', 'backseat', 'car', 'woman', 'kitchen', 'table', 'sing', 'lullaby', 'cree', 'language', 'girl', 'arrive', 'destination', 'undergo', 'transformation', 'turn', 'woman', 'gentle', 'voice', 'howl', 'anger', 'pain', 'drama', 'music', 'dance', 'indigenous', 'musical', 'tragedy', 'choreography', 'residential', 'school', 'nation', 'cope', 'mechanism', 'short', 'film']","[-0.24645953  0.32891536  0.13657379 -0.09511007  0.29355878 -0.12226865
  0.01695046 -0.03433692  0.15401402 -0.53135306  0.19180962 -0.33986545
 -0.29530284  0.29787233  0.01826791 -0.4071203  -0.13118549  0.24768078
 -0.3588736  -0.35920522 -0.2141495   0.08560611 -0.24765989  0.02045375
  0.0345813   0.01441599 -0.13204797  0.09028701  0.28885078  0.03495457
  0.00731249  0.09794079  0.29413438 -0.51215035 -0.1795256   0.23587367
  0.06459153  0.18816309 -0.2222773   0.09353503  0.43178853 -0.61566716
 -0.14021993 -0.22305314 -0.37657228 -0.19652045  0.04704178 -0.2832803
 -0.2520697   0.31337228  0.03617678 -0.24642584  0.0494068   0.18236189
 -0.05575388 -0.11665741 -0.06975169  0.06799687 -0.24008901  0.21657518
  0.29313362 -0.11932223  0.04480763  0.02435837  0.47294146  0.539602
  0.19290963 -0.05184646  0.20122735  0.44418198 -0.27635646  0.2682289
 -0.00932222 -0.24889018  0.41919127 -0.02270056  0.28496817 -0.06733334
 -0.0881471   0.06598832 -0.04564964 -0.04627211 -0.04866977  0.23086932
 -0.20061786 -0.05008535 -0.18675755 -0.11299578 -0.08867566 -0.09140199
 -0.30912519 -0.25491565 -0.07301597  0.01405108 -0.45490828  0.43820617
  0.0179656   0.03679077 -0.05179609  0.5246943 ]"
Demonoid: Messenger of Death,1981,"A British woman visits her husband at the Mexican mine he is attempting to reopen and discovers that the workers refuse to enter the mine, fearing an ancient curse. The couple enter the mine to prove there is no danger and inadvertently release a demon which possesses people's left hands and forces them to behave in a suitably diabolical manner.",Up from the depths of hell comes the ultimate horror!,Horror,"satanism, murder, devil, hand, severed hand, disembodied hand","Demonoid: Messenger of Death 1981 A British woman visits her husband at the Mexican mine he is attempting to reopen and discovers that the workers refuse to enter the mine, fearing an ancient curse. The couple enter the mine to prove there is no danger and inadvertently release a demon which possesses people's left hands and forces them to behave in a suitably diabolical manner. Horror satanism, murder, devil, hand, severed hand, disembodied hand","['demonoid', 'messenger', 'death', 'british', 'woman', 'visit', 'husband', 'mexican', 'attempt', 'reopen', 'discover', 'worker', 'refuse', 'enter', 'fear', 'ancient', 'curse', 'couple', 'enter', 'prove', 'danger', 'inadvertently', 'release', 'demon', 'possess', 'people', 'leave', 'hand', 'force', 'behave', 'suitably', 'diabolical', 'manner', 'horror', 'satanism', 'murder', 'devil', 'hand', 'sever', 'hand', 'disembodied', 'hand']","[-2.45956942e-01  1.63039088e-01  7.81793445e-02  1.46422116e-02
  1.64052784e-01  7.64951110e-02  8.15156475e-03 -1.32309064e-01
  2.18728334e-02 -5.22694111e-01  8.65139365e-02 -2.83800840e-01
 -3.34388942e-01  2.81564772e-01  8.02574009e-02 -2.97110617e-01
 -2.41224617e-02  1.60362095e-01 -2.77488381e-01 -4.29555267e-01
 -8.46147686e-02  8.56408179e-02 -1.04909897e-01 -4.70885672e-02
  4.45831902e-02  1.12689752e-02 -1.18070453e-01  9.14312154e-02
  4.17113304e-01 -1.14747897e-01 -3.71504016e-02  1.84482131e-02
  3.54891092e-01 -4.31119144e-01 -1.23779230e-01  2.64147133e-01
 -9.26449299e-02  1.63009942e-01 -2.80469060e-01  1.65393248e-01
  4.86190617e-01 -4.66498196e-01 -1.89184874e-01 -3.06538880e-01
 -4.85760689e-01 -3.69740963e-01  4.17440645e-02 -2.96348184e-01
 -1.95911333e-01  1.73375115e-01  1.71851560e-01 -2.51302123e-01
  8.84138197e-02  2.85908405e-04 -1.10950442e-02 -2.95869820e-02
  5.14453417e-03  1.12984642e-01 -1.42716080e-01  1.65241450e-01
  2.60028422e-01 -1.29471898e-01 -5.28108291e-02  8.09582099e-02
  4.39381748e-01  4.68124539e-01  1.97213143e-01 -1.40783042e-01
  1.57211259e-01  3.09372634e-01 -1.49595469e-01  2.80505449e-01
 -8.35970230e-03 -1.90399811e-01  5.12444258e-01 -5.35275750e-02
  3.60415757e-01 -5.55609539e-02 -4.34901789e-02  1.39886931e-01
 -1.29845694e-01  2.28542332e-02  6.59163669e-02  1.95465475e-01
 -3.22507620e-01 -1.15841255e-01 -1.53547168e-01 -8.20469558e-02
 -1.08911671e-01 -8.67289603e-02 -4.15294737e-01 -2.10203528e-01
  5.63354157e-02  5.64434975e-02 -3.24927121e-01  4.32552069e-01
  1.02102272e-02 -9.65946391e-02 -6.16329052e-02  4.77734208e-01]"
"Video Nasties: Moral Panic, Censorship & Videotape",2010,"A documentary analyzing the furore which so-called ""video nasties"" caused in Britain during the 1980s.",72 films that changed Britain forever.,Documentary,"media, sexuality, paranoia, politician, interview, conservative, director, britain, censorship, video nasty","Video Nasties: Moral Panic, Censorship & Videotape 2010 A documentary analyzing the furore which so-called ""video nasties"" caused in Britain during the 1980s. Documentary media, sexuality, paranoia, politician, interview, conservative, director, britain, censorship, video nasty","['video', 'nasties', 'moral', 'panic', 'censorship', 'videotape', 'documentary', 'analyze', 'furore', 'call', 'video', 'nastie', 'cause', 'britain', 'documentary', 'medium', 'sexuality', 'paranoia', 'politician', 'interview', 'conservative', 'director', 'britain', 'censorship', 'video', 'nasty']","[-0.06567264  0.4247812   0.08007956 -0.13309574  0.2819599  -0.14364447
 -0.04115685  0.06162213  0.15419634 -0.5303542   0.22904952 -0.2824448
 -0.3651685   0.34712183 -0.02453235 -0.32873172 -0.00480798  0.25672343
 -0.36709306 -0.34800938 -0.28155702  0.23154739 -0.22004913  0.05253317
 -0.07217102 -0.14158033 -0.09128216  0.04464517  0.23628145  0.09143205
  0.09747711  0.12718247  0.27795804 -0.5220411  -0.18432301  0.19356221
  0.06957252  0.19909342 -0.14303109  0.12687974  0.39402267 -0.54248
 -0.08758213 -0.31889465 -0.40456438 -0.18930875  0.07892851 -0.11093327
 -0.24813285  0.25333804  0.01240376 -0.22726724  0.09278718  0.18374398
 -0.02241603  0.07926343 -0.02729122  0.08186864 -0.25535363  0.15854271
  0.09948286 -0.16757996 -0.00468419 -0.0112584   0.55391884  0.5731483
  0.11021093 -0.13159655  0.18085027  0.45110175 -0.22861189  0.22148551
  0.05027896 -0.37770227  0.44142702  0.05975982  0.20130825 -0.07698485
 -0.00063101  0.05889253 -0.01136672  0.00204334  0.06862871  0.13541281
 -0.00963828 -0.05649887 -0.20574865 -0.0938773  -0.06859663 -0.0524212
 -0.16118988 -0.25611535 -0.11993217  0.04228491 -0.42211118  0.45582077
  0.13167001 -0.03378347 -0.05835164  0.4184326 ]"
Russian Roulette,1975,"An RCMP officer is ordered to discreetly take a Russian immigrant into custody in advance of a state visit by the Soviet premier. When the prisoner is kidnapped, the officer is drawn into a complicated assassination scheme.",George Segal hangs tough...and plays the game with all the chambers loaded!,"Thriller, Crime, Drama","cia, hitman, spy, soviet union, firearm, kgb, mafia, conspiracy, sniper rifle, explosion, christmas","Russian Roulette 1975 An RCMP officer is ordered to discreetly take a Russian immigrant into custody in advance of a state visit by the Soviet premier. When the prisoner is kidnapped, the officer is drawn into a complicated assassination scheme. Thriller, Crime, Drama cia, hitman, spy, soviet union, firearm, kgb, mafia, conspiracy, sniper rifle, explosion, christmas","['russian', 'roulette', 'rcmp', 'officer', 'order', 'discreetly', 'russian', 'immigrant', 'custody', 'advance', 'state', 'visit', 'soviet', 'premier', 'prisoner', 'kidnap', 'officer', 'draw', 'complicated', 'assassination', 'scheme', 'thriller', 'crime', 'drama', 'cia', 'hitman', 'spy', 'soviet', 'union', 'firearm', 'kgb', 'mafia', 'conspiracy', 'sniper', 'rifle', 'explosion', 'christmas']","[-0.21293512  0.3458036   0.11523344 -0.05360333  0.20291755  0.00673327
  0.04464198 -0.05443981  0.01972465 -0.5673469   0.12803665 -0.28075948
 -0.3374234   0.35403976 -0.05038695 -0.3400927  -0.10127672  0.26676333
 -0.21907577 -0.39765424 -0.13503174  0.14310598 -0.04705788 -0.08002269
  0.17821015 -0.04467152 -0.07973391  0.02786758  0.31806308  0.05310778
 -0.07671924  0.26160124  0.34259564 -0.5774084  -0.15523939  0.29035985
 -0.05141042  0.18974297 -0.18429141  0.05295416  0.38205153 -0.43174505
 -0.21797936 -0.3507306  -0.41103286 -0.30739397  0.00763243 -0.13121687
 -0.20839216  0.16982146  0.08346555 -0.2462445   0.0707968  -0.04650046
 -0.0224899  -0.0570114   0.02218169 -0.06335033 -0.1710446   0.14609621
  0.17828634 -0.17725968  0.01569332  0.12761724  0.42381558  0.5240052
  0.3239654  -0.13473168  0.04406552  0.19303404 -0.23882209  0.20399834
 -0.05312717 -0.2165574   0.48540872  0.07114634  0.18105876  0.01741142
  0.01457986  0.12059182 -0.10716064  0.0682497   0.09709692  0.24038093
 -0.2246287  -0.22690074 -0.21009976 -0.14523433 -0.08759961 -0.0982599
 -0.37659997 -0.18444507  0.01978788  0.03126741 -0.34074754  0.45564184
 -0.00395971 -0.0620208   0.00866977  0.41527775]"
